file.name,database,uri,sub.database,pathway.id,pathway.name,macromolecule.ID.type,simple.chemical.ID.type
http___identifiers.org_panther.pathway_P02788.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02788,panther.pathway,P02788,Xanthine and guanine salvage pathway,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P04371.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P04371,panther.pathway,P04371, 5-Hydroxytryptamine biosynthesis,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P04372.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P04372,panther.pathway,P04372, 5-Hydroxytryptamine degredation,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P04373.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P04373,panther.pathway,P04373, 5HT1 type receptor mediated signaling pathway,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P04374.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P04374,panther.pathway,P04374, 5HT2 type receptor mediated signaling pathway,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P04375.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P04375,panther.pathway,P04375, 5HT3 type receptor mediated signaling pathway,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P04376.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P04376,panther.pathway,P04376, 5HT4 type receptor mediated signaling pathway,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P04377.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P04377,panther.pathway,P04377,Beta1 adrenergic receptor signaling pathway,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P04378.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P04378,panther.pathway,P04378,Beta2 adrenergic receptor signaling pathway,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P04379.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P04379,panther.pathway,P04379,Beta3 adrenergic receptor signaling pathway,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P04380.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P04380,panther.pathway,P04380,Cortocotropin releasing factor receptor signaling pathway,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P04384.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P04384,panther.pathway,P04384,Gamma-aminobutyric acid synthesis,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P04385.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P04385,panther.pathway,P04385,Histamine H1 receptor mediated signaling pathway,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P04386.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P04386,panther.pathway,P04386,Histamine H2 receptor mediated signaling pathway,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P04387.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P04387,panther.pathway,P04387,Histamine synthesis,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P04391.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P04391,panther.pathway,P04391,Oxytocin receptor mediated signaling pathway,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P04392.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P04392,panther.pathway,P04392,P53 pathway feedback loops 1,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P04393.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P04393,panther.pathway,P04393,Ras Pathway,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P04394.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P04394,panther.pathway,P04394,Thyrotropin-releasing hormone receptor signaling pathway,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P04395.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P04395,panther.pathway,P04395,Vasopressin synthesis,pathwayCommons,pathwayCommons
